year,quarter,store,net_sales_total,number_orders_total,delivery_sales,delivery_orders,dine_in_sales,dine_in_orders,to_go_sales,to_go_orders,pick_up_sales,pick_up_orders,discounts,percent_discount,ticket_average,web_app_net_sales_online,web_app_number_orders_online,web_app_ticket_avg_online,online_percent_online,number_on_time_deliveries,number_late_deliveries,x3rd_party_sales_total,x3rd_party_orders_total,dd_sales,dd_orders_door_dash,ue_sales,ue_orders,quarter_label,period
2023,1,Herculaneum,199646.29,6499,113221.96,3131,901.5,52,10413.31,581,75109.52,2735,17874.79,9,30.72,122332.64,3568,34.29,61.3,2723,306,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Highland,194363.4,6353,75726.53,1961,17335.05,776,10340.31,527,90961.51,3089,28920.16,14.9,30.59,116986.07,3392,34.49,60.2,1539,350,0,0,0,0,0,0,Q1,2023 Q1
2023,1,High Ridge,363463.83,11522,179843.19,4828,0,0,10316.37,623,173304.27,6071,40742.73,11.2,31.55,195584.1,5601,34.92,53.8,3147,1507,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Highway K,293863.89,8978,154422.39,3990,15941.7,665,16728.12,763,106771.68,3560,68447.45,23.3,32.73,152450.34,4127,36.94,51.9,2611,1171,68.81,2,68.81,2,0,0,Q1,2023 Q1
2023,1,Hillsboro,196564.41,6130,90604.28,2346,0,0,6354.28,418,99605.85,3366,19931.56,10.1,32.07,111302.84,3105,35.85,56.6,1892,361,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Jackson,76336.4,3016,21731.97,659,23.1,1,208.17,23,54373.16,2333,7934.03,10.4,25.31,40129.79,1295,30.99,52.6,382,261,3863.19,162,3863.19,162,0,0,Q1,2023 Q1
2023,1,Jefferson City,226046.74,7872,116123.71,3559,0,0,14727.03,835,95196,3478,19748.75,8.7,28.72,118549.74,3685,32.17,52.4,2518,882,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Jerseyville,197010.4,7759,52720.16,1578,62957.23,3016,10811.6,705,70521.41,2460,29960.2,15.2,25.39,59549.2,1770,33.64,30.2,920,594,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Jungermann,278274.05,9262,134506.86,3609,21663.78,963,18963.8,950,103139.61,3740,34666.64,12.5,30.04,149419.44,4320,34.59,53.7,2851,593,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Kansas City - Rainbow,255699.2,9226,74085.37,2165,22086.94,967,29278.79,1479,130248.1,4615,21482.84,8.4,27.72,147028.96,4745,30.99,57.5,1630,380,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Kirkwood,351009.53,12581,196857.31,6199,39760.33,1941,13086.29,835,101305.6,3606,32983.67,9.4,27.9,177319.53,5596,31.69,50.5,4191,1585,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Lake St Louis,252165.41,8247,99174.21,2621,10852.78,533,14885.17,771,127253.25,4322,56734.75,22.5,30.58,131326.27,3868,33.95,52.1,1690,785,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Lemay,326021.1,12362,166291.05,5348,0,0,20062.14,1181,139667.91,5833,33877.85,10.4,26.37,168890.58,5714,29.56,51.8,3840,1402,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Manchester,209484.45,7310,124989.88,3888,9546.78,457,10047.55,578,64900.24,2387,27996.3,13.4,28.66,119275.82,3720,32.06,56.9,3030,628,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Maplewood,294717.6,10630,167808.86,5150,11595.64,599,15842.49,1124,99470.61,3757,41353.16,14,27.73,169323.33,5352,31.64,57.5,4152,728,14,1,14,1,0,0,Q1,2023 Q1
2023,1,Maryland Heights,242421.94,7903,120841.82,3022,13598.63,644,18710.87,980,89270.62,3257,25746.34,10.6,30.67,137376.33,3870,35.5,56.7,1561,1252,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Mehlville,320197.52,10915,198132.13,5758,13249.19,701,15347.98,902,93468.22,3554,47940.81,15,29.34,174873.33,5174,33.8,54.6,4149,1392,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Mid Rivers,320347.11,10573,158541.49,4399,7017.93,280,17541.58,912,137246.11,4982,66446.62,20.7,30.3,183097.47,5488,33.36,57.2,3828,386,0,0,0,0,0,0,Q1,2023 Q1
2023,1,N Main,324597.68,10284,172707.4,4555,6071.7,297,18516.67,979,127301.91,4453,70160.11,21.6,31.56,171001.42,4836,35.36,52.7,3412,871,18.12,1,18.12,1,0,0,Q1,2023 Q1
2023,1,North Oaks,340989.28,13237,144207.36,4410,0,0,22743.9,1409,174038.02,7418,51852.71,15.2,25.76,109380.08,3909,27.98,32.1,2373,1991,36.58,1,36.58,1,0,0,Q1,2023 Q1
